Place,Player,Alias,Character(s),Event Name,Year,Game Played
7th,Jason de Heras,Shirts,Dhalsim,EVO 2008[],2008,Super Street Fighter II Turbo
1st,Shinya Ohnuki,Nuki,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
2nd,Justin Wong,JWongg,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
3rd,Amir Amirsaleh,,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
4th,Hajime Tanguchi,Tokido,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
5th,Ryan Harvey,Fubarduck,Chun-Li,EVO 2008[],2008,Street Fighter III: 3rd Strike
5th,J.R. Rodriguez,,Akuma,EVO 2008[],2008,Street Fighter III: 3rd Strike
7th,Mike Watson,Watts,Ken,EVO 2008[],2008,Street Fighter III: 3rd Strike
7th,Ryan Hart,Prodigal Son,Yun/Ken,EVO 2008[],2008,Street Fighter III: 3rd Strike
1st,Daigo Umehara,The Beast,Ryu,EVO 2009[],2009,Street Fighter IV
2nd,Justin Wong,JWonggg,Rufus/Balrog/Abel,EVO 2009[],2009,Street Fighter IV
3rd,Ed Ma,,Akuma,EVO 2009[],2009,Street Fighter IV
4th,Sanford Kelly,Santhrax,Akuma/Cammy,EVO 2009[],,Street Fighter IV2009
5th,Long Tran,ShadyK,Akuma,EVO 2009[],2009,Street Fighter IV
5th,Eduardo Perez,PR Balrog,Balrog/E. Honda,EVO 2009[],2009,Street Fighter IV
7th,Takashi Hakushi,Dan,Ryu,EVO 2009[],2009,Street Fighter IV
7th,Ricky Ortiz,Hel-o Kit-e,Rufus,EVO 2009[],2009,Street Fighter IV
1st,Jason Nguyen,AfroLegends,Balrog/Dee Jay,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
2nd,John Choi,ChoiBoy,Ryu,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
3rd,Damien Dailidenas,Damdai,Ken/Zangief,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
4th,Graham Wolfe,,Balrog,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
5th,David Sirlin,Sirlin,Fei Long/Cammy/M. Bison,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
5th,Louis Paquin,Thelo,E. Honda,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
7th,Alex Valle,CaliPower,Ryu,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
7th,Alex Saguero,SIN,Guile,EVO 2009[],2009,Super Street Fighter II Turbo: HD Remix
1st,Daigo Umehara,The Beast,Ryu,EVO 2010[],2010,Super Street Fighter IV
2nd,Ricky Ortiz,Hel-o Kit-e,Rufus/Chun-Li,EVO 2010[],2010,Super Street Fighter IV
3rd,Seon-woo Lee,Infiltration,Akuma,EVO 2010[],2010,Super Street Fighter IV
4th,Mike Ross,Mike Ross,E. Honda,EVO 2010[],2010,Super Street Fighter IV
5th,Bruce Hsiang,GamerBee,Adon,EVO 2010[],2010,Super Street Fighter IV
5th,vance Wu,Vangief,Zangief,EVO 2010[],2010,Super Street Fighter IV
7th,Henry Cen,,E. Honda/Dhalsim,EVO 2010[],2010,Super Street Fighter IV
7th,Shane Cummings,Shizza,Chun-Li,EVO 2010[],2010,Super Street Fighter IV
1st,Darryl Lewis,Snake Eyez,Zangief,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
2nd,Unknown,DGV,Ryu,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
3rd,Jason Nguyen,AfroLegends,Balrog/Ryu,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
4th,Daigo Umehara,The Beast,Balrog/Dee Jay,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
5th,Hajime Taniguchi,Tokido,Vega/E. Honda,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
5th,Jason Cole,AfroCole,Dhalsim,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
7th,Alex Valle,CaliPower,Ryu/Sagat,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
7th,Unknown,RyRy,Ryu,EVO 2010[],2010,Super Street Fighter II Turbo: HD Remix
1st,Marie-Laure Norindr,Kayane,Chun-Li,EVO 2010[],2010,Super Street Fighter IV
2nd,Unknown,BurnYourBra,Ken/Gouken/Rose,EVO 2010[],2010,Super Street Fighter IV
3rd,Phuong Le,YellowGal,Chun-Li,EVO 2010[],2010,Super Street Fighter IV
4th,Lina Yu,,Blanka,EVO 2010[],2010,Super Street Fighter IV
1st,Damien Dailidenas,Damdai,O. Ken,EVO 2010[],2010,Super Street Fighter II Turbo 
2nd,Biran Su,Ganelon,Vega,EVO 2010[],2010,Super Street Fighter II Turbo 
